PersonID,date,hSample,Q1,Q2,Q2r8oe,Q3,dmaDataZIP_CODEc1,dmaDataDMA_NAMEc1,dmaDataSTATE_CODEc1,dmaDataSTATE_ABVc1,dmaDataCOUNTY_CODEc1,dmaDataCOUNTY_NAMEc1,dmaDataCOUNTY_SIZEc1,dmaDataNMR_TERR_CODEc1,dmaDataDMA_RANKc1,dmaDataMETRO_INDICATORc1,region4,region9,STATE,DMA,Q4r1,Q4r2,Q4r3,Q4r4,Q4r5,Q4r5oe,Q5,Q6,Q7Ar1,Q7Ar2,Q7Ar3,Q7Ar4,Q7Ar5,Q7Ar6,Q7Ar7,Q7Ar8,Q7Ar9,Q7Ar10,Q7Ar11,Q7Ar12,Q7Ar13,Q7Ar14,Q7Ar15,Q7Ar15oe,Q7Br1,Q7Br2,Q7Br3,Q7Br4,Q7Br5,Q7Br6,Q7Br7,Q7Br8,Q7Br8oe,Q8r1,Q8r2,Q8r3,Q8r4,Q8r5,Q8r6,Q8r7,Q8r7oe,Q9,Q10r1,Q10r2,Q10r3,Q10r4,Q10r5,Q10r6,Q10r7,Q10r7oe,Q11,Q12,Q13,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r6oe,Q15,Q16,Q17r1,Q17r2,Q17r3,Q17r4,Q17r5,Q17r6,Q17r7,Q17r8,Q17r9,Q17r10,Q17r11,Q17r12,Q17r13,Q17r14,Q17r15,Q17r16,Q18,Q18r4oe,Q19,Q20,Q21r1,Q21r2,Q21r3,Q21r4,Q21r5,Q21r6,Q21r7,Q21r6oe,Q22r1,Q22r2,Q22r3,Q22r4,Q22r5,Q22r6,Q22r6oe,Q23r1,Q23r2,Q23r3,Q23r4,Q23r5,Q23r6,Q23r7,Q23r8,Q23r9,Q23r10,Q23r11,Q23r12,Q23r12oe,Q24r1,Q24r2,Q24r3,Q24r4,Q24r5,Q24r6,Q24r7,Q24ar1,Q24ar2,Q24ar3,Q24ar4,Q24ar5,Q24ar6,Q24ar7,Q24br1c1,Q24br1c2,Q24br1c3,Q24br1c4,Q24br1c5,Q24br1c6,Q24br1c7,Q24br2c1,Q24br2c2,Q24br2c3,Q24br2c4,Q24br2c5,Q24br2c6,Q24br2c7,Q24br3c1,Q24br3c2,Q24br3c3,Q24br3c4,Q24br3c5,Q24br3c6,Q24br3c7,Q24br4c1,Q24br4c2,Q24br4c3,Q24br4c4,Q24br4c5,Q24br4c6,Q24br4c7,Q24br5c1,Q24br5c2,Q24br5c3,Q24br5c4,Q24br5c5,Q24br5c6,Q24br5c7,Q24br6c1,Q24br6c2,Q24br6c3,Q24br6c4,Q24br6c5,Q24br6c6,Q24br6c7,Q24br7c1,Q24br7c2,Q24br7c3,Q24br7c4,Q24br7c5,Q24br7c6,Q24br7c7,Q24bOtherr1,Q24bOtherr2,Q24bOtherr3,Q24bOtherr4,Q24bOtherr5,Q24bOtherr6,Q24bOtherr7,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q25r7,Q25a,Q25b,Q25c,Q26r1,Q26r2,Q26r3,Q26r4,Q26r5,Q26r6,Q26r7,Q26r8,Q27r1,Q27r2,Q27r3,Q27r4,Q27r5,Q27r6,Q27r7,Q28r1,Q28r2,Q28r3,Q28r4,Q28r5,Q28r6,Q28r7,Q29r1,Q29r2,Q29r3,Q29r4,Q29r5,Q29r6,Q29r7,Q29r8,Q29r9,Q29r10,Q29r11,Q29r12,Q29r13,Q29r14,Q29r15,Q29ar1,Q29ar2,Q29ar3,Q30r1,Q30r2,Q31,Q32r1,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r6oe,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,vdropout,vrncurqid,source,ipAddress,decLang,list,userAgent
1,3/14/2017 7:45,RN Sample,Physician,Wound Care,,20850,20850,"WASHINGTON, DC (HAGRSTWN)",19,MD,31,MONTGOMERY,6,1,7,M,South,SA,Maryland,"511 Washington, DC (Hagerstown, MD)",1,1,0,1,0,,15-19,Increased,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,No,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Familiar,Very Familiar,Familiar,Somewhat Familiar,Not Familiar,Not Familiar,Not Familiar,,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Yes,,,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,0,0,1,0,0,0,,MMR (list=2),186.3638008,iPhone/iPad,,Safari,,Smartphone,iOS,3/14/2017 7:43,,iEnd,,73.128.136.122,,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
2,3/14/2017 8:08,RN Sample,Physician,Other (Please specify),Anesthesiologist,11023,11023,NEW YORK,31,NY,59,NASSAU,6,1,1,M,Northeast,MA,New York,"501 New York, NY",1,1,0,1,0,,10-14,Increased,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,,Yes,,,,,,,,,Yes,3-5 years,Increased,1,1,1,0,1,0,,Always,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,"By you and other medical professionals in your practice (physicians, nurses, nurse practitioners, physician assistants, etc.)",,Yes,Using different doctors,0,0,1,0,1,0,0,,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,,Very Familiar,Very Familiar,Very Familiar,Very Familiar,Very Familiar,Familiar,Very Familiar,3 - 4 Patients/Month,1 - 2 Patients/Month,I have not referred any Patients,I have not referred any Patients,1 - 2 Patients/Month,I have not referred any Patients,3 - 4 Patients/Month,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,5,4,,,5,,5,,Yes,,1,0,0,1,0,0,0,0,Once every 2-3 months,,,Less than once every 3 months,,,,Extremely valuable,,,Somewhat valuable,,,,Describe them very well5,Describe them very well5,4,4,4,Describe them very well5,3,4,Describe them very well5,Describe them very well5,4,4,4,Describe them very well5,4,NO,YES,YES,Extremely helpful5,4,5,5,0,1,0,0,0,0,,MMR (list=2),473.9105363,iPhone/iPad,,Safari,,Smartphone,iOS,3/14/2017 8:00,,iEnd,,69.121.59.47,,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A403 Safari/602.1"
3,3/16/2017 15:05,RN Sample,Physician,Internal Medicine,,19148,19148,PHILADELPHIA,37,PA,101,PHILADELPHIA,6,1,4,M,Northeast,MA,Pennsylvania,"504 Philadelphia, PA",1,1,1,1,0,,25 or more,Increased,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,1,0,,1,1,1,0,0,0,0,,Yes,,,,,,,,,No,More than 10 years,Increased,0,1,0,0,0,0,,Always,1,2,5,3,2,3,3,3,3,3,3,2,3,3,3,1,1,By you alone,,No,,0,1,1,1,1,0,0,,0,0,1,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,,Somewhat Familiar,Somewhat Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,I have not referred any Patients,I have not referred any Patients,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media,media,,,,,,,,,,,,,,Yes,,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,0,0,1,0,0,0,,MMR (list=2),299.3037472,Windows 7,,Chrome,,Desktop,Other/Desktop,3/16/2017 15:00,,iEnd,,147.140.233.16,,2,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
4,3/14/2017 8:17,RN Sample,Physician,Other (Please specify),emergency medicine,49456,49456,GRAND RAPIDS-KALMZOO-B.CRK,21,MI,121,MUSKEGON,8,2,41,M,Midwest,ENC,Michigan,"563 Grand Rapids-Kalamazoo-Battle Creek, MI",1,1,1,1,0,,10-14,Remained the same,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,,Yes,,,,,,,,,No,More than 10 years,Increased,0,0,1,0,0,0,,Sometimes,2,5,1,5,1,5,3,3,3,3,2,2,2,1,5,5,3,By you alone,,No,,1,1,0,1,1,0,0,,1,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Somewhat Familiar,,,,,,,I have not referred any Patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,Local to patient,,,,,,,,none,Yes,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20,0,0,1,0,0,0,,MMR (list=2),612.0387263,iPhone/iPad,,Safari,,Smartphone,iOS,3/14/2017 8:07,,iEnd,,75.48.197.142,,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
5,3/16/2017 14:18,RN Sample,Physician,Other (Please specify),Emergency medicine,23456,23456,NORFOLK-PORTSMTH-NEWPT NWS,45,VA,186,VIRGINIA BCH,7,4,42,M,South,SA,Virginia,"544 Norfolk-Portsmouth-Newport News, VA",1,1,1,1,0,,10-14,Increased,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,,Yes,,,,,,,,,Yes,3-5 years,Increased,0,0,1,0,0,0,,Sometimes,2,4,1,2,2,2,2,2,3,3,3,3,5,2,1,3,4,"By you and other medical professionals in your practice (physicians, nurses, nurse practitioners, physician assistants, etc.)",,No,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,0,1,0,0,0,,MMR (list=2),435.724705,iPhone/iPad,,Safari,,Smartphone,iOS,3/16/2017 14:10,,iEnd,,173.50.77.126,,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1"
6,3/16/2017 21:40,RN Sample,Physician,"Primary Care (GP, FP, IM)",,10019,10019,NEW YORK,31,NY,61,NEW YORK,6,1,1,M,Northeast,MA,New York,"501 New York, NY",1,1,1,0,0,,10-14,Remained the same,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,1,1,1,1,1,1,0,,Yes,,,,,,,,,Yes,More than 10 years,Remained the same,1,1,1,0,0,0,,Always,3,5,2,4,5,4,4,4,3,4,4,5,5,4,4,4,5,By you alone,,No,,0,1,0,0,1,0,0,,1,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Familiar,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,1 - 2 Patients/Month,1 - 2 Patients/Month,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,,,,,,,,,,,,,4,5,,Yes,,0,0,0,0,1,1,1,0,,,,,Less than once every 3 months,Less than once every 3 months,Less than once every 3 months,,,,,Somewhat valuable,Somewhat valuable,Somewhat valuable,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,Do not describe them at all1,NO,NO,NO,2,Not at all helpful1,24,20,0,1,0,0,0,0,,MMR (list=2),530.6694105,iPhone/iPad,,Safari,,Smartphone,iOS,3/16/2017 21:31,,iEnd,,70.196.64.87,,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
7,3/14/2017 4:15,RN Sample,Physician,Other (Please specify),Emergency Medicine,19087,19087,PHILADELPHIA,37,PA,29,CHESTER,6,1,4,M,Northeast,MA,Pennsylvania,"504 Philadelphia, PA",1,1,1,1,0,,10-14,Remained the same,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,,1,1,0,1,0,0,0,,Yes,,,,,,,,,No,More than 10 years,Increased,0,0,1,0,0,0,,Sometimes,1,3,2,3,3,4,3,4,3,3,5,4,3,3,2,3,4,By you alone,,No,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Somewhat Familiar,Not Familiar,,,,,,I have not referred any Patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,Reputation,,,,,,,,,,Yes,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,7,0,0,1,0,0,0,,MMR (list=2),661.1158445,iPhone/iPad,,Safari,,Tablet,iOS,3/14/2017 4:04,,iEnd,,73.165.163.12,,2,"Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
8,3/16/2017 11:45,RN Sample,Physician,Internal Medicine,,19001,19001,PHILADELPHIA,37,PA,91,MONTGOMERY,6,1,4,M,Northeast,MA,Pennsylvania,"504 Philadelphia, PA",1,1,1,1,0,,5-9,Remained the same,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,,Yes,,,,,,,,,Yes,More than 10 years,Remained the same,1,0,1,0,0,0,,Always,2,4,3,4,4,5,5,4,4,4,4,4,4,4,3,5,4,"By you and other medical professionals in your practice (physicians, nurses, nurse practitioners, physician assistants, etc.)",,Yes,new facility open up near by,0,1,0,0,0,0,0,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,,Not Familiar,Somewhat Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,Not Familiar,,I have not referred any Patients,,,,,,,,,,,,,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue bell venous clinic,Yes,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,0,0,0,0,0,1,group hospital owned,MMR (list=2),559.3862996,Windows 7,,Chrome,,Desktop,Other/Desktop,3/16/2017 11:36,,Q31,,71.225.40.30,,2,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
9,3/16/2017 14:31,RN Sample,Physician,Internal Medicine,,46260,46260,INDIANAPOLIS,13,IN,97,MARION,7,2,27,M,Midwest,ENC,Indiana,"527 Indianapolis, IN",1,1,1,1,0,,25 or more,Increased,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,,1,1,0,1,1,0,0,,Yes,,,,,,,,,Yes,3-5 years,Remained the same,1,1,1,0,0,0,,Always,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"By you and other medical professionals in your practice (physicians, nurses, nurse practitioners, physician assistants, etc.)",,Yes,Changes,1,1,1,1,1,0,0,,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Familiar,Somewhat Familiar,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,3 - 4 Patients/Month,I have not referred any Patients,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,4,,,Yes,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,0,1,0,1,0,,MMR (list=2),239.2488081,Windows 10,,Chrome,,Desktop,Other/Desktop,3/16/2017 14:27,,iEnd,,68.54.154.191,,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
10,3/16/2017 23:46,RN Sample,Physician,"Primary Care (GP, FP, IM)",,22101,22101,"WASHINGTON, DC (HAGRSTWN)",45,VA,13,ARLINGTON,6,1,7,M,South,SA,Virginia,"511 Washington, DC (Hagerstown, MD)",1,1,1,1,0,,20-24,Decreased,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,,Yes,,,,,,,,,No,6-10 years,Remained the same,0,0,1,0,0,1,In network treatment facilities,Sometimes,1,5,3,4,5,4,4,4,4,4,4,4,4,4,4,5,5,"By you and other medical professionals in your practice (physicians, nurses, nurse practitioners, physician assistants, etc.)",,No,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,Somewhat Familiar,Very Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Familiar,Not Familiar,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,I have not referred any Patients,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,Don't refer,Don't refer,Don't refer,Don't refer,Don't refer,Don't refer,,,,,,,,,In-network center,Yes,,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,0,1,0,0,0,0,,MMR (list=2),14814.32346,iPhone/iPad,,Safari,,Smartphone,iOS,3/16/2017 19:39,,iEnd,,74.96.146.120,,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4"
